-152.933,221.05,451.155,0.361932,-0.382499,-0.850118,0.149832,0.923956,-0.351932
-58.1043,168.424,344.347,0.787,-0.324043,-0.525002,0.269567,0.946042,-0.179826
235.751,82.3101,207.794,-0.0218262,-0.242556,-0.969892,-0.00545704,0.970137,-0.242495
363.374,58.3874,-189.492,-0.934215,-0.107293,0.340193,-0.100817,0.994228,0.0367123
153.911,152.286,-600.567,-0.306792,-0.24013,0.920986,-0.0758906,0.970741,0.227822
-202.434,379.841,-454.851,0.245759,-0.587122,0.771291,0.178247,0.809498,0.559411
-634.383,130.425,-172.282,0.958539,-0.169182,0.229305,0.16454,0.985585,0.0393617
-149.256,20.3214,67.992,0.583637,-0.142018,-0.799499,0.0837358,0.989864,-0.114706
-80.526,76.4123,-48.6963,0.292883,-0.692537,-0.659252,0.281171,0.721383,-0.63289
-33.5801,-48.9887,-156.198,0.261164,-0.752928,-0.604064,0.298794,0.658103,-0.691102
